acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.000519,https://api.spotify.com/v1/audio-analysis/3a7c8dRD2v3afhAPPnFOfp,0.588,218093.0,0.902,3a7c8dRD2v3afhAPPnFOfp,0.000886,11.0,0.318,-7.829,0.0,0.0531,102.016,4.0,https://api.spotify.com/v1/tracks/3a7c8dRD2v3afhAPPnFOfp,audio_features,spotify:track:3a7c8dRD2v3afhAPPnFOfp,0.568
0.222,https://api.spotify.com/v1/audio-analysis/6UOJKpUB7bNsiP26V6aH3x,0.62,228638.0,0.499,6UOJKpUB7bNsiP26V6aH3x,1.3e-05,0.0,0.267,-6.316,1.0,0.026,99.907,4.0,https://api.spotify.com/v1/tracks/6UOJKpUB7bNsiP26V6aH3x,audio_features,spotify:track:6UOJKpUB7bNsiP26V6aH3x,0.422
0.837,https://api.spotify.com/v1/audio-analysis/19d2VqwybUEdi6POq71bZh,0.454,286585.0,0.382,19d2VqwybUEdi6POq71bZh,6.06e-06,7.0,0.11,-7.784,1.0,0.0261,156.032,4.0,https://api.spotify.com/v1/tracks/19d2VqwybUEdi6POq71bZh,audio_features,spotify:track:19d2VqwybUEdi6POq71bZh,0.255
0.764,https://api.spotify.com/v1/audio-analysis/1XVWOLFELbzyPjdoCIG9qg,0.489,262286.0,0.495,1XVWOLFELbzyPjdoCIG9qg,0.0,6.0,0.128,-6.895,1.0,0.0323,72.999,4.0,https://api.spotify.com/v1/tracks/1XVWOLFELbzyPjdoCIG9qg,audio_features,spotify:track:1XVWOLFELbzyPjdoCIG9qg,0.136
0.0989,https://api.spotify.com/v1/audio-analysis/2N330CSAARTt6b304LmYhF,0.512,259748.0,0.506,2N330CSAARTt6b304LmYhF,6.82e-06,9.0,0.308,-6.222,1.0,0.0286,89.913,4.0,https://api.spotify.com/v1/tracks/2N330CSAARTt6b304LmYhF,audio_features,spotify:track:2N330CSAARTt6b304LmYhF,0.176
0.0832,https://api.spotify.com/v1/audio-analysis/7aVzTWfC0g3PBDXCKk9WXx,0.571,275518.0,0.777,7aVzTWfC0g3PBDXCKk9WXx,1.18e-05,11.0,0.118,-5.572,1.0,0.0333,129.846,4.0,https://api.spotify.com/v1/tracks/7aVzTWfC0g3PBDXCKk9WXx,audio_features,spotify:track:7aVzTWfC0g3PBDXCKk9WXx,0.553
0.0495,https://api.spotify.com/v1/audio-analysis/1KwUwYJ1tLFBxQ7bpTKLcc,0.333,298233.0,0.636,1KwUwYJ1tLFBxQ7bpTKLcc,0.0,6.0,0.0769,-6.858,1.0,0.0267,78.012,4.0,https://api.spotify.com/v1/tracks/1KwUwYJ1tLFBxQ7bpTKLcc,audio_features,spotify:track:1KwUwYJ1tLFBxQ7bpTKLcc,0.309
0.00363,https://api.spotify.com/v1/audio-analysis/2GhxIhQMU8pEFIkslAWFUy,0.535,257280.0,0.715,2GhxIhQMU8pEFIkslAWFUy,0.0,8.0,0.0709,-8.829,1.0,0.0343,125.007,4.0,https://api.spotify.com/v1/tracks/2GhxIhQMU8pEFIkslAWFUy,audio_features,spotify:track:2GhxIhQMU8pEFIkslAWFUy,0.441
0.604,https://api.spotify.com/v1/audio-analysis/1ATsyVAoSaee75bS0rbBRg,0.52,254555.0,0.281,1ATsyVAoSaee75bS0rbBRg,0.0,8.0,0.102,-12.782,1.0,0.0349,151.998,3.0,https://api.spotify.com/v1/tracks/1ATsyVAoSaee75bS0rbBRg,audio_features,spotify:track:1ATsyVAoSaee75bS0rbBRg,0.402
0.921,https://api.spotify.com/v1/audio-analysis/6kKdcqFW5fnaKYO3zxZ5Cj,0.327,299846.0,0.0993,6kKdcqFW5fnaKYO3zxZ5Cj,0.0,1.0,0.0804,-14.434,1.0,0.0336,136.164,4.0,https://api.spotify.com/v1/tracks/6kKdcqFW5fnaKYO3zxZ5Cj,audio_features,spotify:track:6kKdcqFW5fnaKYO3zxZ5Cj,0.208
0.0282,https://api.spotify.com/v1/audio-analysis/1gmkYZhEmYDnLf3kQuerln,0.561,255011.0,0.805,1gmkYZhEmYDnLf3kQuerln,0.0,8.0,0.0746,-5.245,1.0,0.0333,125.063,4.0,https://api.spotify.com/v1/tracks/1gmkYZhEmYDnLf3kQuerln,audio_features,spotify:track:1gmkYZhEmYDnLf3kQuerln,0.402
0.177,https://api.spotify.com/v1/audio-analysis/6NQK3PUIcPWXxQvkhC6R5A,0.577,217864.0,0.537,6NQK3PUIcPWXxQvkhC6R5A,0.0,7.0,0.177,-10.143,1.0,0.0326,144.129,4.0,https://api.spotify.com/v1/tracks/6NQK3PUIcPWXxQvkhC6R5A,audio_features,spotify:track:6NQK3PUIcPWXxQvkhC6R5A,0.774
0.00591,https://api.spotify.com/v1/audio-analysis/3XGyrEUztdYjXmYVhmgJdh,0.613,217864.0,0.52,3XGyrEUztdYjXmYVhmgJdh,0.65,7.0,0.311,-12.037,1.0,0.0342,144.015,4.0,https://api.spotify.com/v1/tracks/3XGyrEUztdYjXmYVhmgJdh,audio_features,spotify:track:3XGyrEUztdYjXmYVhmgJdh,0.544
0.000266,https://api.spotify.com/v1/audio-analysis/5Fu9WgU51p6K0NjoPAVZvm,0.37,188964.0,0.954,5Fu9WgU51p6K0NjoPAVZvm,0.00575,5.0,0.209,-5.83,0.0,0.0927,160.095,4.0,https://api.spotify.com/v1/tracks/5Fu9WgU51p6K0NjoPAVZvm,audio_features,spotify:track:5Fu9WgU51p6K0NjoPAVZvm,0.433
0.0231,https://api.spotify.com/v1/audio-analysis/04T4R4zoTSJVpnhxIAg906,0.531,254073.0,0.851,04T4R4zoTSJVpnhxIAg906,0.000669,7.0,0.129,-4.534,0.0,0.0431,114.158,4.0,https://api.spotify.com/v1/tracks/04T4R4zoTSJVpnhxIAg906,audio_features,spotify:track:04T4R4zoTSJVpnhxIAg906,0.431
0.00044,https://api.spotify.com/v1/audio-analysis/2h7GNrVUd77pIM5hNQwbOg,0.514,210419.0,0.884,2h7GNrVUd77pIM5hNQwbOg,0.00291,2.0,0.153,-5.365,1.0,0.0392,155.977,4.0,https://api.spotify.com/v1/tracks/2h7GNrVUd77pIM5hNQwbOg,audio_features,spotify:track:2h7GNrVUd77pIM5hNQwbOg,0.926
0.00959,https://api.spotify.com/v1/audio-analysis/0QWD8Z9bHu1VdmyHTU6A1N,0.547,248918.0,0.88,0QWD8Z9bHu1VdmyHTU6A1N,0.503,5.0,0.0954,-6.984,0.0,0.0316,137.947,4.0,https://api.spotify.com/v1/tracks/0QWD8Z9bHu1VdmyHTU6A1N,audio_features,spotify:track:0QWD8Z9bHu1VdmyHTU6A1N,0.704
0.101,https://api.spotify.com/v1/audio-analysis/5JYZdOTHZLFmUsB3BBmyR0,0.469,221124.0,0.753,5JYZdOTHZLFmUsB3BBmyR0,0.0128,6.0,0.0985,-6.754,0.0,0.0313,143.937,4.0,https://api.spotify.com/v1/tracks/5JYZdOTHZLFmUsB3BBmyR0,audio_features,spotify:track:5JYZdOTHZLFmUsB3BBmyR0,0.447
0.00123,https://api.spotify.com/v1/audio-analysis/1VC07t9wPbBaYIJqrI1BKP,0.534,206193.0,0.804,1VC07t9wPbBaYIJqrI1BKP,0.0119,6.0,0.166,-5.835,0.0,0.037,131.93,4.0,https://api.spotify.com/v1/tracks/1VC07t9wPbBaYIJqrI1BKP,audio_features,spotify:track:1VC07t9wPbBaYIJqrI1BKP,0.598
0.367,https://api.spotify.com/v1/audio-analysis/24IAYkltXS65fhd486rD2X,0.573,232525.0,0.847,24IAYkltXS65fhd486rD2X,0.232,10.0,0.107,-7.445,0.0,0.0284,134.001,4.0,https://api.spotify.com/v1/tracks/24IAYkltXS65fhd486rD2X,audio_features,spotify:track:24IAYkltXS65fhd486rD2X,0.639
0.0395,https://api.spotify.com/v1/audio-analysis/5T4gok5WiQuPvdMNFNOj2L,0.514,298609.0,0.627,5T4gok5WiQuPvdMNFNOj2L,0.0911,0.0,0.169,-5.257,1.0,0.0289,86.043,4.0,https://api.spotify.com/v1/tracks/5T4gok5WiQuPvdMNFNOj2L,audio_features,spotify:track:5T4gok5WiQuPvdMNFNOj2L,0.178
0.00295,https://api.spotify.com/v1/audio-analysis/5XbtjwIF3L8dA5wnCqta5w,0.361,264197.0,0.852,5XbtjwIF3L8dA5wnCqta5w,0.791,11.0,0.114,-9.089,0.0,0.0499,107.034,4.0,https://api.spotify.com/v1/tracks/5XbtjwIF3L8dA5wnCqta5w,audio_features,spotify:track:5XbtjwIF3L8dA5wnCqta5w,0.14
